Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
TFB2M	0	0	0	4985.5166	0	0	11861.574	0	19672.516	0	0	0	0	42120.508	49112.625	0	5641.1943	0	0	0	0	0	0	0
STEEP1	100402.47	82375	571494.75	0	0	12549.845	782608.9	158904.12	202828.9	17756.6	37987.21	0	87074.22	102984.92	383398.28	784102.44	1328923.6	625243.7	301147.84	58056.72	37995.79	0	0	7973.1025
DHX35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8932.49	0	0	0	0	0	0	0
BICC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9723.943	0	0	0	0	0	0	0	0	0
PCNX3	0	0	0	0	0	0	0	8613.229	12816.512	12647.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAUS4	192296.5	0	176707.69	0	0	0	285048.4	229695.03	274967.8	0	0	0	133822.73	230548.75	240621.4	0	0	0	49915.375	0	0	0	0	0
REEP4	0	0	121644.94	0	0	0	0	0	0	0	0	0	0	0	0	46299.973	57207.844	55488.02	0	0	0	0	0	0
C11orf49	169625.73	121506.375	121167.6	16875.65	19743.043	14655.604	194721.25	158778.86	138895.23	0	0	0	208332.36	272225.62	187779.53	24373.719	58645.957	0	85818.984	57119.445	72910.016	0	0	0
CIAO3	30324.184	0	38167.03	28244.955	20474.81	0	29538.977	0	48573.625	43471.01	31782.299	8179.304	0	0	4975.6357	13978.178	22664.236	19871.105	0	0	0	301475	29767.664	28253.64
DHX33	0	0	0	0	0	0	9185.907	10060.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL6	221738.42	79423.38	31313.477	11164.548	0	9401.907	805888.9	678976.56	731562.8	0	0	0	32158.068	40528.914	2628.728	393957.94	706290.5	322398.22	67389.266	44957.953	36686.48	0	2756.8506	0
WDCP	17907.479	16976.754	52039.66	0	0	0	22776.031	80083.836	90720.57	0	0	0	127343.52	229686.66	188760.5	0	13407.097	0	0	0	19787.54	0	0	0
