Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
CLUH	98.71124268	63.60848999	134.3177643	16.59713745	30.13237381	14.41890144	149.7923889	167.4129639	219.3166046	9.792915344	19.67653275	15.20891094	213.7121124	215.7213135	311.3253479	32.01209641	56.94247818	24.95768929	40.43323517	39.75829697	34.82705688	10.80695343	18.55210686	17.03135109
NPHP4	23.64509392	18.5080204	28.64367485	0	0	5.039087772	33.41082764	37.28936005	40.89168167	0	0	0	36.10025406	43.09178543	56.39623642	0	7.268112183	0	13.82993507	15.75513363	7.450528622	0	0	0
KDM4A	28.15992737	0	0	0	0	0	25.09721565	28.03615952	13.91232491	0	0	0	0	6.70068264	0	19.34448814	26.13890839	11.67280579	0	0	1.527436256	0	0	0
DNAJC13	608.6491699	579.076355	883.6439209	45.31473541	63.86468506	61.8200264	702.8882446	760.1137085	997.020874	0	6.892644405	7.448429585	432.8842163	511.2613525	493.9081116	75.25649261	109.0077515	66.15026855	150.2149506	161.7828369	125.848465	9.496244431	11.87320805	16.69171715
PHACTR2	253.5587158	195.8910522	332.7590332	16.98586273	10.12529278	14.83097649	126.4262848	107.3642197	95.50310516	0	0	0	45.2326088	29.74999237	73.1967392	0	0	0	11.19550323	18.75757217	19.60022926	0	0	0
PPP6R2	95.21271515	67.35712433	139.6869659	9.087327957	23.45902443	13.85166454	142.632309	166.0553589	234.5711823	0	0	0	174.4498596	155.7017822	258.9246521	25.12108994	25.35338974	17.62561798	17.92476654	24.91041946	23.28322792	0	0	4.608833313
CNOT3	48.26314163	43.57546997	91.75663757	9.643650055	14.78517914	8.923066139	90.03193665	99.7317276	160.4724426	0	0	0	46.38516617	74.19882965	113.0904465	13.07856178	28.33371544	10.4477396	28.34408951	26.08689499	23.20487213	3.520461082	3.209265709	5.568172455
ANKRD17	802.798584	658.3682861	1203.463623	101.4524536	140.7687225	139.3774109	1245.084595	1395.849243	1720.279907	0	9.24166584	3.149022818	1017.074951	1119.029419	1716.626221	131.6561127	271.2929688	159.6374664	354.7263184	352.3659973	404.2425842	16.18463135	23.0437336	22.13068962
SIN3B	0	0	0	0	0	0	19.83248901	16.22779274	26.22050858	0	0	0	0	0	0	6.022127151	9.383720398	7.13278389	0	0	0	0	0	0
DNAJB6	28.23480606	11.68992996	18.5452137	0	0	0	41.45614243	42.44961166	101.7399826	0	0	0	48.62652588	34.76987839	54.81120682	62.3216629	54.7315979	9.823762894	18.891922	11.8973875	0	0	0	0
LRP5	83.3981781	83.55401611	35.17854309	3.452019691	11.24551392	0	70.85712433	82.74849701	127.0292053	0	0	0	27.97215843	43.24489975	85.52144623	77.83430481	100.2437134	50.77204514	0	1.185894012	5.690870285	0	0	0
