Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PDHA1	ABCD3	ABCD3	.|0.304|0.536	1.671	0.557	3	1.943|1.891|1.807|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.296	0.924	
PDHA1	MAPK1	MAPK1	.|0.446|0.764	2.040	0.680	3	0.828|1.060|1.080|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.167	0.692	0.908	
PDHA1	SHC1	SHC1	.|0.315|0.475	1.620	0.540	3	0.635|0.743|1.024|0.149|.|.	0.000	0.000	0.000	0.000	0.000	-12.329	1.042	0.901	
PDHA1	SERPINB3	SERPINB3	.|0.542|.	2.202	0.734	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.383	0.884	0.913	
PDHA1	ALDH4A1	ALDH4A1	.|0.394|.	2.054	0.685	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.675	0.825	0.927	
PDHA1	NMT1	NMT1	.|0.303|.	1.963	0.654	3	0.759|0.524|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.627	1.038	0.916	
PDHA1	AKT2	AKT2	.|0.225|0.150	1.204	0.401	3	0.941|1.033|0.732|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.450	0.924	
PDHA1	HNRNPH3	HNRNPH3	.|0.243|.	1.903	0.634	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.764	0.927	
PDHA1	CASP14	CASP14	.|1.251|.	2.911	0.970	3	.|.|0.551|.|0.578|0.795	0.018	0.054	0.018	0.054	0.018	-5.841	1.534	0.781	
PDHA1	KDELR2	KDELR2	.|0.131|0.138	1.099	0.366	3	1.019|1.059|0.954|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.363	0.924	
PDHA1	MPI	MPI	.|0.475|0.386	1.691	0.564	3	0.964|0.737|0.781|.|0.201|.	0.001	0.002	0.001	0.002	0.001	-6.987	0.975	0.871	
