Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
MAPRE3	DOCK6	3	32	13|12|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.4440	0.2096
ACTB	DOCK7	3	81	13|13|13|12|13|13|13|13|13|26|26|13|26|13|13|26|26|13|26|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|12|13|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|26|26|12|26|13|13|13|13|13|13|13|13|13|13|13|26|13|26|26|26|13|13|26|13|13	0.9699	0.0188
CTNNA1	DOCK7	3	81	13|13|13|12|13|13|13|13|13|26|26|13|26|13|13|26|26|13|26|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|12|13|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|26|26|12|26|13|13|13|13|13|13|13|13|13|13|13|26|13|26|26|26|13|13|26|13|13	0.7094	0.1005
KRT8	DOCK7	3	81	13|13|13|12|13|13|13|13|13|26|26|13|26|13|13|26|26|13|26|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|12|13|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|26|26|12|26|13|13|13|13|13|13|13|13|13|13|13|26|13|26|26|26|13|13|26|13|13	0.9742	0.0157
LMNA	DOCK7	3	81	13|13|13|12|13|13|13|13|13|26|26|13|26|13|13|26|26|13|26|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|12|13|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|26|26|12|26|13|13|13|13|13|13|13|13|13|13|13|26|13|26|26|26|13|13|26|13|13	0.4765	0.1977
MAPRE3	DOCK7	3	81	13|13|13|12|13|13|13|13|13|26|26|13|26|13|13|26|26|13|26|13|13|26|13|13|13|13|13|13|13|13|13|13|13|13|13|12|13|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|26|26|12|26|13|13|13|13|13|13|13|13|13|13|13|26|13|26|26|26|13|13|26|13|13	0.9438	0.0279
ACTB	DOCK8	3	1	26	0.3038	0.3329
CTNNA1	DOCK8	3	1	26	0.5081	0.1816
KRT8	DOCK8	3	1	26	0.2768	0.3415
MAPRE3	DOCK8	3	1	26	0.2698	0.3432
ACTB	DOCK9	3	26	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|10|13|13	0.5933	0.1489
CTNNA1	DOCK9	3	26	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|10|13|13	0.0480	0.4746
KRT8	DOCK9	3	26	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|10|13|13	0.7411	0.0898
MAPRE3	DOCK9	3	26	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|10|13|13	0.1557	0.4121
ACTB	DOHH	3	4	13|13|13|13	0.1087	0.4406
CTNNA1	DOHH	3	4	13|13|13|13	0.2151	0.3667
KRT8	DOHH	3	4	13|13|13|13	0.3283	0.3058
LMNA	DOHH	3	4	13|13|13|13	0.1111	0.4265
MAPRE3	DOHH	3	4	13|13|13|13	0.1046	0.4474
ACTB	DOK1	3	6	13|13|13|26|13|13	0.7468	0.0874
CTNNA1	DOK1	3	6	13|13|13|26|13|13	0.0839	0.4583
KRT8	DOK1	3	6	13|13|13|26|13|13	0.7621	0.0814
LMNA	DOK1	3	6	13|13|13|26|13|13	0.3784	0.2412
MAPRE3	DOK1	3	6	13|13|13|26|13|13	0.4185	0.2267
ACTB	DOLK	3	2	13|13	0.3114	0.3287
KRT8	DOLK	3	2	13|13	0.9598	0.0234
LMNA	DOLK	3	2	13|13	0.1395	0.4174
ACTB	DOLPP1	3	1	13	0.3202	0.3199
KRT8	DOLPP1	3	1	13	0.3250	0.3124
LMNA	DOLPP1	3	1	13	0.9100	0.0359
LMNA	DONSON	3	3	13|13|13	0.2222	0.3566
ACTB	DOP1A	3	7	13|13|13|13|13|13|13	0.2158	0.3658
KRT8	DOP1A	3	7	13|13|13|13|13|13|13	0.5392	0.1685
ACTB	DOT1L	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.0332	0.4806
KRT8	DOT1L	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.1290	0.4211
LMNA	DOT1L	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.7088	0.1006
ACTB	DPF2	3	2	13|13	0.1386	0.4177
ACTB	DPH1	3	2	13|13	0.3243	0.3138
KRT8	DPH1	3	2	13|13	0.6561	0.1188
KRT8	DPH2	3	1	13	0.3235	0.3153
ACTB	DPH6	3	2	13|13	0.3333	0.2523
MAPRE3	DPH6	3	2	13|13	0.1666	0.3904
ACTB	DPH7	3	2	26|13	0.5975	0.1478
KRT8	DPH7	3	2	26|13	0.4513	0.2064
LMNA	DPH7	3	2	26|13	0.1590	0.4098
KRT8	DPM1	3	2	13|13	0.6405	0.1311
ACTB	DPM3	3	1	13	0.6423	0.1296
KRT8	DPM3	3	1	13	0.9656	0.0211
LMNA	DPM3	3	1	13	0.6390	0.1320
CTNNA1	DPP10	3	1	13	0.3324	0.2946
KRT8	DPP6	3	1	13	0.3331	0.2825
ACTB	DPP9	3	3	13|13|13	0.5086	0.1814
KRT8	DPP9	3	3	13|13|13	0.5907	0.1495
ACTB	DPY19L1	3	6	13|13|13|13|13|13	0.4301	0.2187
KRT8	DPY19L1	3	6	13|13|13|13|13|13	0.2142	0.3677
LMNA	DPY19L1	3	6	13|13|13|13|13|13	0.9866	0.0060
MAPRE3	DPY19L1	3	6	13|13|13|13|13|13	0.1956	0.3777
KRT8	DPY19L2	3	1	10	0.3330	0.2865
ACTB	DPYD	3	11	13|13|13|13|13|12|13|13|13|26|13	0.2667	0.3441
CTNNA1	DPYD	3	11	13|13|13|13|13|12|13|13|13|26|13	0.0478	0.4747
KRT8	DPYD	3	11	13|13|13|13|13|12|13|13|13|26|13	0.7933	0.0716
LMNA	DPYD	3	11	13|13|13|13|13|12|13|13|13|26|13	0.0508	0.4739
