Bait,Prey
EGFR,HPN
EGFR,WBP2
EGFR,HTR3A
EGFR,TGOLN2
EGFR,ST8SIA4
EGFR,DEFA1
EGFR,CTDSPL
EGFR,PDP1
EGFR,L1CAM
EGFR,LRIG2
EGFR,PTPRU
EGFR,AAR2
EGFR,ADORA1
EGFR,CD81
EGFR,GNAI1
EGFR,VPS33B
EGFR,FAM105A
EGFR,RHBDF2
EGFR,MTDH
EGFR,NRAS
EGFR,GGA1
EGFR,ESR2
EGFR,LRIG3
EGFR,Camk2a
EGFR,MATK
EGFR,IL5RA
EGFR,ARHGEF12
EGFR,KIAA0226
EGFR,CD109
EGFR,TMEM43
EGFR,OSMR
EGFR,ESRRB
EGFR,Bmpr1a
EGFR,YAP1
EGFR,Nedd4
EGFR,OTUD7B
EGFR,ZFYVE28
EGFR,NDFIP2
EGFR,NDFIP1
EGFR,CASP1
EGFR,SNX4
EGFR,SNX1
EGFR,SNX6
EGFR,CD82
EGFR,DOK2
EGFR,HTT
EGFR,DUSP3
EGFR,Grap2
EGFR,SGSM2
EGFR,USP2
EGFR,CD2AP
EGFR,ARHGAP32
EGFR,PRKCB
EGFR,NTRK1
EGFR,RPA1
EGFR,RPA2
EGFR,RPA3
EGFR,BIRC2
EGFR,BIRC3
EGFR,FBXO25
EGFR,CHMP4A
EGFR,MAP1LC3A
EGFR,APBA3
EGFR,APBB3
EGFR,APBB1
EGFR,CALU
EGFR,SOCS4
EGFR,PPP2R3A
EGFR,NONO
EGFR,ORF3a
EGFR,LRRC31
EGFR,RHOF
EGFR,RHOC
