Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PSMA4	Q96KQ7	Q96KQ7	1.801|2.047|2.309|2.113	8.271	2.068	4	1.505|1.709|1.310|1.388	0.000	0.000	0.000	0.000	0.000	-13.646	1.406	0.728	
PSMA4	Q96KR1	Q96KR1	1.057|1.347|1.380|1.171	4.955	1.239	4	1.235|1.454|1.474|1.842	0.000	0.000	0.000	0.000	0.000	-14.552	0.834	0.839	
PSMA4	Q96L73	Q96L73	0.459|1.109|1.147|1.026	3.742	0.936	4	0.377|0.590|0.725|0.532	0.145	0.355	0.145	0.355	0.145	-14.552	1.729	0.444	
PSMA4	Q96L91	Q96L91	0.857|1.260|1.255|1.048	4.419	1.105	4	0.667|1.009|0.902|0.892	0.000	0.000	0.000	0.000	0.000	-14.552	1.288	0.745	
PSMA4	Q96L93	Q96L93	0.686|0.760|0.605|0.664	2.715	0.679	4	0.236|0.338|0.367|0.256	0.805	1.000	0.805	1.000	0.805	-0.904	2.307	0.025	
PSMA4	Q96LB3	Q96LB3	0.756|1.090|0.927|1.034	3.806	0.952	4	0.632|0.669|0.505|0.480	0.003	0.012	0.003	0.012	0.003	-12.710	1.681	0.612	
PSMA4	Q96LI5	Q96LI5	0.570|0.797|0.807|0.660	2.834	0.709	4	0.403|0.559|0.334|0.291	0.128	0.280	0.128	0.280	0.128	-8.976	1.842	0.451	
PSMA4	Q96LT7	Q96LT7	0.738|0.941|1.006|0.726	3.411	0.853	4	0.384|0.559|0.412|0.297	0.476	0.982	0.476	0.982	0.476	-4.850	2.120	0.221	
PSMA4	Q96LT9	Q96LT9	0.816|0.912|0.947|0.744	3.419	0.855	4	0.623|0.566|0.703|0.843	0.000	0.000	0.000	0.000	0.000	-14.351	1.264	0.759	
PSMA4	Q96M27	Q96M27	0.807|1.546|1.390|1.032	4.776	1.194	4	1.298|1.445|0.711|0.466	0.020	0.049	0.020	0.049	0.020	-7.236	1.345	0.557	
PSMA4	Q96M89	Q96M89	1.220|1.134|1.253|1.939	5.545	1.386	4	1.315|1.564|1.691|1.386	0.000	0.000	0.000	0.000	0.000	-14.552	0.935	0.781	
PSMA4	Q96M96	Q96M96	1.842|0.880|0.736|1.334	4.791	1.198	4	0.921|0.475|0.626|0.860	0.255	0.970	0.255	0.970	0.255	-14.531	1.719	0.330	
PSMA4	Q96MD2	Q96MD2	0.002|0.035|0.000|0.011	0.047	0.012	4	0.006|0.000|0.000|0.000	0.376	0.874	0.376	0.874	0.376	-12.098	54.835	0.269	
