Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
LMNA	Q14CX7	NAA25	0|1|0	1	0.33	3	0|0|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.93	3.00	0.75	
LMNA	Q15050	RRS1	0|2|0	2	0.67	3	0|0|3|1|0|1|0|0|1	0.10	0.30	0.10	0.30	0.10	-3.99	1.00	0.53	
LMNA	Q15165	PON2	0|3|0	3	1.00	3	0|0|2|1|1|1|0|0|0	0.22	0.67	0.22	0.67	0.22	-3.53	1.80	0.43	
LMNA	Q15181	PPA1	0|1|0	1	0.33	3	1|1|2|4|1|2|1|1|4	0.00	0.00	0.00	0.00	0.00	-8.76	0.18	0.75	
LMNA	Q15291	RBBP5	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q15468	STIL	0|1|0	1	0.33	3	2|2|5|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.48	0.33	0.75	
LMNA	Q15517	CDSN	0|4|1	5	1.67	3	0|0|0|4|0|0|1|7|0	0.14	0.41	0.14	0.41	0.14	-5.89	1.25	0.50	
LMNA	Q15582	TGFBI	0|1|0	1	0.33	3	0|3|3|0|0|0|0|1|0	0.00	0.00	0.00	0.00	0.00	-4.51	0.43	0.75	
LMNA	Q15654	TRIP6	0|3|1	4	1.33	3	12|8|21|1|1|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-20.29	0.28	0.75	
LMNA	Q15723	ELF2	0|2|2	4	1.33	3	1|1|1|0|0|0|0|0|0	0.39	0.59	0.39	0.59	0.39	-2.73	4.00	0.27	
LMNA	Q15773	MLF2	0|1|0	1	0.33	3	0|0|0|0|0|0|0|1|0	0.00	0.00	0.00	0.00	0.00	-1.93	3.00	0.75	
LMNA	Q15788	NCOA1	0|1|0	1	0.33	3	0|0|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.93	3.00	0.75	
LMNA	Q16186	ADRM1	0|1|1	2	0.67	3	0|0|3|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.84	2.00	0.75	
LMNA	Q16401	PSMD5	0|8|2	10	3.33	3	2|3|5|0|0|0|0|0|0	0.33	0.87	0.33	0.87	0.33	-5.02	3.00	0.31	
LMNA	Q16512	PKN1	0|4|3	7	2.33	3	20|24|21|0|0|0|0|1|0	0.00	0.00	0.00	0.00	0.00	-31.28	0.32	0.75	
LMNA	Q16795	NDUFA9	0|2|2	4	1.33	3	0|4|4|0|0|0|0|0|0	0.17	0.25	0.17	0.25	0.17	-5.06	1.50	0.47	
LMNA	Q16850	CYP51A1	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q27J81	INF2	0|1|0	1	0.33	3	10|14|17|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-19.29	0.07	0.75	
LMNA	Q2M2I8	AAK1	0|1|0	1	0.33	3	17|19|15|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-24.10	0.06	0.75	
LMNA	Q32MZ4	LRRFIP1	0|1|0	1	0.33	3	13|13|18|1|2|1|0|1|0	0.00	0.00	0.00	0.00	0.00	-23.24	0.06	0.75	
LMNA	Q3YEC7	RABL6	0|3|0	3	1.00	3	8|8|6|0|1|0|0|0|1	0.00	0.00	0.00	0.00	0.00	-11.57	0.38	0.67	
LMNA	Q4G0S7	CCDC152	0|2|0	2	0.67	3	0|0|0|0|0|0|0|0|0	0.31	0.93	0.31	0.93	0.31	-1.89	6.67	0.35	
LMNA	Q52LW3	ARHGAP29	0|1|0	1	0.33	3	9|13|15|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-17.28	0.08	0.75	
LMNA	Q53EP0	FNDC3B	0|3|0	3	1.00	3	2|1|3|0|1|0|0|0|0	0.16	0.47	0.16	0.47	0.16	-4.41	1.29	0.48	
LMNA	Q53GQ0	HSD17B12	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q53H12	AGK	0|2|0	2	0.67	3	0|0|2|0|0|0|0|0|0	0.24	0.72	0.24	0.72	0.24	-2.38	3.00	0.42	
LMNA	Q5BKZ1	ZNF326	0|1|1	2	0.67	3	0|0|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.38	3.00	0.75	
LMNA	Q5FWF5	ESCO1	0|2|0	2	0.67	3	0|0|0|0|0|0|0|0|0	0.31	0.93	0.31	0.93	0.31	-1.89	6.67	0.35	
LMNA	Q5JTH9	RRP12	0|1|0	1	0.33	3	3|3|4|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-5.10	0.30	0.75	
LMNA	Q5MNZ9	WIPI1	0|1|0	1	0.33	3	1|1|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.73	1.00	0.75	
LMNA	Q5RL73	RBM48	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
